 total_inn.,totim,kper,kstp,nouter,dvmax,dvmax_loc,residmax,residmax_loc,dgwfmax,dgwfmax_loc                                                           
 2,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                    
 4,1.000000000000000,1,1,2,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                    
 6,1.000000000000000,1,1,3,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                    
 8,1.000000000000000,1,1,4,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                    
 10,1.000000000000000,1,1,5,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 12,1.000000000000000,1,1,6,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 14,1.000000000000000,1,1,7,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 16,1.000000000000000,1,1,8,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 18,1.000000000000000,1,1,9,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                   
 20,1.000000000000000,1,1,10,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 22,1.000000000000000,1,1,11,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 24,1.000000000000000,1,1,12,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 26,1.000000000000000,1,1,13,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 28,1.000000000000000,1,1,14,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 30,1.000000000000000,1,1,15,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 32,1.000000000000000,1,1,16,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 34,1.000000000000000,1,1,17,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 36,1.000000000000000,1,1,18,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 38,1.000000000000000,1,1,19,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 40,1.000000000000000,1,1,20,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 42,1.000000000000000,1,1,21,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 44,1.000000000000000,1,1,22,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 46,1.000000000000000,1,1,23,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 48,1.000000000000000,1,1,24,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 50,1.000000000000000,1,1,25,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 52,1.000000000000000,1,1,26,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 54,1.000000000000000,1,1,27,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 56,1.000000000000000,1,1,28,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 58,1.000000000000000,1,1,29,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 60,1.000000000000000,1,1,30,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 62,1.000000000000000,1,1,31,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 64,1.000000000000000,1,1,32,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 66,1.000000000000000,1,1,33,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 68,1.000000000000000,1,1,34,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 70,1.000000000000000,1,1,35,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 72,1.000000000000000,1,1,36,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 74,1.000000000000000,1,1,37,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 76,1.000000000000000,1,1,38,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 78,1.000000000000000,1,1,39,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 80,1.000000000000000,1,1,40,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 82,1.000000000000000,1,1,41,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 84,1.000000000000000,1,1,42,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 86,1.000000000000000,1,1,43,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 88,1.000000000000000,1,1,44,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 90,1.000000000000000,1,1,45,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 92,1.000000000000000,1,1,46,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 94,1.000000000000000,1,1,47,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 96,1.000000000000000,1,1,48,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 98,1.000000000000000,1,1,49,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                  
 100,1.000000000000000,1,1,50,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 102,1.000000000000000,1,1,51,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 104,1.000000000000000,1,1,52,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 106,1.000000000000000,1,1,53,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 109,1.000000000000000,1,1,54,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 112,1.000000000000000,1,1,55,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 115,1.000000000000000,1,1,56,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 118,1.000000000000000,1,1,57,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 121,1.000000000000000,1,1,58,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 124,1.000000000000000,1,1,59,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 127,1.000000000000000,1,1,60,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 130,1.000000000000000,1,1,61,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 133,1.000000000000000,1,1,62,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 136,1.000000000000000,1,1,63,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 139,1.000000000000000,1,1,64,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 142,1.000000000000000,1,1,65,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 145,1.000000000000000,1,1,66,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 148,1.000000000000000,1,1,67,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 151,1.000000000000000,1,1,68,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 154,1.000000000000000,1,1,69,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 157,1.000000000000000,1,1,70,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 160,1.000000000000000,1,1,71,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 163,1.000000000000000,1,1,72,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 166,1.000000000000000,1,1,73,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 169,1.000000000000000,1,1,74,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 172,1.000000000000000,1,1,75,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 175,1.000000000000000,1,1,76,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 178,1.000000000000000,1,1,77,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
 181,1.000000000000000,1,1,78,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                 
